上	B-NR
海	E-NR
浦	B-NR
东	E-NR
开	B-NN
发	E-NN
与	S-CC
法	B-NN
制	E-NN
建	B-NN
设	E-NN
同	B-VV
步	E-VV


新	B-NN
华	I-NN
社	E-NN
上	B-NR
海	E-NR
二	B-NT
月	E-NT
十	B-NT
日	E-NT
电	S-NN
（	S-PU
记	B-NN
者	E-NN
谢	B-NR
金	I-NR
虎	E-NR
、	S-PU
张	B-NR
持	I-NR
坚	E-NR
）	S-PU


上	B-NR
海	E-NR
浦	B-NR
东	E-NR
近	B-NT
年	E-NT
来	S-LC
颁	B-VV
布	E-VV
实	B-VV
行	E-VV
了	S-AS
涉	B-VV
及	E-VV
经	B-NN
济	E-NN
、	S-PU
贸	B-NN
易	E-NN
、	S-PU
建	B-NN
设	E-NN
、	S-PU
规	B-NN
划	E-NN
、	S-PU
科	B-NN
技	E-NN
、	S-PU
文	B-NN
教	E-NN
等	S-ETC
领	B-NN
域	E-NN
的	S-DEC
七	B-CD
十	I-CD
一	E-CD
件	S-M
法	B-NN
规	I-NN
性	E-NN
文	B-NN
件	E-NN
，	S-PU
确	B-VV
保	E-VV
了	S-AS
浦	B-NR
东	E-NR
开	B-NN
发	E-NN
的	S-DEG
有	B-JJ
序	E-JJ
进	B-NN
行	E-NN
。	S-PU


浦	B-NR
东	E-NR
开	B-NN
发	E-NN
开	B-NN
放	E-NN
是	S-VC
一	S-CD
项	S-M
振	B-VV
兴	E-VV
上	B-NR
海	E-NR
，	S-PU
建	B-VV
设	E-VV
现	B-NN
代	I-NN
化	E-NN
经	B-NN
济	E-NN
、	S-PU
贸	B-NN
易	E-NN
、	S-PU
金	B-NN
融	E-NN
中	B-NN
心	E-NN
的	S-DEC
跨	B-JJ
世	I-JJ
纪	E-JJ
工	B-NN
程	E-NN
，	S-PU
因	B-AD
此	E-AD
大	B-AD
量	E-AD
出	B-VV
现	E-VV
的	S-DEC
是	S-VC
以	B-NT
前	E-NT
不	S-AD
曾	S-AD
遇	B-VV
到	E-VV
过	S-AS
的	S-DEC
新	S-JJ
情	B-NN
况	E-NN
、	S-PU
新	S-JJ
问	B-NN
题	E-NN
。	S-PU


对	S-P
此	S-PN
，	S-PU
浦	B-NR
东	E-NR
不	S-AD
是	S-VC
简	B-VA
单	E-VA
的	S-DEV
采	B-VV
取	E-VV
“	S-PU
干	S-VV
一	S-CD
段	S-M
时	B-NN
间	E-NN
，	S-PU
等	S-P
积	B-VV
累	E-VV
了	S-AS
经	B-NN
验	E-NN
以	B-LC
后	E-LC
再	S-AD
制	B-VV
定	E-VV
法	B-NN
规	E-NN
条	B-NN
例	E-NN
”	S-PU
的	S-DEC
做	B-NN
法	E-NN
，	S-PU
而	S-CC
是	S-VC
借	B-VV
鉴	E-VV
发	B-JJ
达	E-JJ
国	B-NN
家	E-NN
和	S-CC
深	B-NR
圳	E-NR
等	S-ETC
特	B-NN
区	E-NN
的	S-DEG
经	B-NN
验	E-NN
教	B-NN
训	E-NN
，	S-PU
聘	B-VV
请	E-VV
国	B-NN
内	I-NN
外	E-NN
有	B-JJ
关	E-JJ
专	B-NN
家	E-NN
学	B-NN
者	E-NN
，	S-PU
积	B-AD
极	E-AD
、	S-PU
及	B-AD
时	E-AD
地	S-DEV
制	B-VV
定	E-VV
和	S-CC
推	B-VV
出	E-VV
法	B-NN
规	I-NN
性	E-NN
文	B-NN
件	E-NN
，	S-PU
使	S-VV
这	B-DT
些	E-DT
经	B-NN
济	E-NN
活	B-NN
动	E-NN
一	S-AD
出	B-VV
现	E-VV
就	S-AD
被	S-SB
纳	B-VV
入	E-VV
法	B-NN
制	E-NN
轨	B-NN
道	E-NN
。	S-PU


去	B-NT
年	E-NT
初	S-LC
浦	B-NR
东	E-NR
新	B-NN
区	E-NN
诞	B-VV
生	E-VV
的	S-DEC
中	B-NR
国	E-NR
第	B-OD
一	E-OD
家	S-M
医	B-NN
疗	E-NN
机	B-NN
构	E-NN
药	B-NN
品	E-NN
采	B-NN
购	E-NN
服	B-NN
务	E-NN
中	B-NN
心	E-NN
，	S-PU
正	S-AD
因	B-P
为	E-P
一	S-AD
开	B-VV
始	E-VV
就	S-AD
比	B-AD
较	E-AD
规	B-VA
范	E-VA
，	S-PU
运	B-VV
转	E-VV
至	B-VV
今	E-VV
，	S-PU
成	B-VV
交	E-VV
药	B-NN
品	E-NN
一	B-CD
亿	I-CD
多	E-CD
元	S-M
，	S-PU
没	B-VV
有	E-VV
发	B-VV
现	E-VV
一	S-CD
例	S-M
回	B-NN
扣	E-NN
。	S-PU


建	B-NN
筑	E-NN
是	S-VC
开	B-VV
发	E-VV
浦	B-NR
东	E-NR
的	S-DEC
一	S-CD
项	S-M
主	B-JJ
要	E-JJ
经	B-NN
济	E-NN
活	B-NN
动	E-NN
，	S-PU
这	B-DT
些	E-DT
年	S-M
有	S-VE
数	B-CD
百	E-CD
家	S-M
建	B-NN
筑	E-NN
公	B-NN
司	E-NN
、	S-PU
四	B-CD
千	I-CD
余	E-CD
个	S-M
建	B-NN
筑	E-NN
工	B-NN
地	E-NN
遍	B-VV
布	E-VV
在	S-P
